priority,block_id,pdf_page,printed_page,block_type,issues,text,review_status,corrected_text,review_note
1,DOC004_P150_B004,150,142,paragraph,low_confidence|possible_ocr_confusion,GOO X_Y_Z各地址含义：X、Y、Z为刀具轨迹终点坐标值。,pending,,
1,DOC004_P151_B001,151,143,header_footer,possible_ocr_confusion,第③章铣削加工编程143,pending,,
1,DOC004_P152_B018,152,144,paragraph,possible_ocr_confusion,GOO,pending,,
1,DOC004_P153_B001,153,145,header_footer,possible_ocr_confusion,第③章铣削加工编程145,pending,,
2,DOC004_P112_B012,112,104,paragraph,inside_table_candidate,刀具轨迹四步循环刀位点逐段编程加工采用G指令循环加工采用G指令A→B进刀切削起点B,pending,,
2,DOC004_P112_B013,112,104,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P112_B014,112,104,paragraph,inside_table_candidate|low_confidence,B→C切削切削终点C,pending,,
2,DOC004_P112_B015,112,104,code,inside_table_candidate,G01,pending,,
2,DOC004_P112_B016,112,104,code,inside_table_candidate,G90,pending,,
2,DOC004_P112_B017,112,104,paragraph,inside_table_candidate,C→D退刀退刀点D,pending,,
2,DOC004_P112_B018,112,104,code,inside_table_candidate,G01,pending,,
2,DOC004_P112_B019,112,104,paragraph,inside_table_candidate,D→A返回循环起点A,pending,,
2,DOC004_P112_B020,112,104,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P112_B021,112,104,paragraph,inside_table_candidate,【例2-27】精加如图2-67所零件外圆柱。,pending,,
2,DOC004_P112_B022,112,104,paragraph,inside_table_candidate,52284,pending,,
2,DOC004_P113_B004,113,105,paragraph,inside_table_candidate,绝对坐标值XZ编程相对坐标值UW编程刀位点及用途,pending,,
2,DOC004_P113_B005,113,105,code,inside_table_candidate,G00X50.0Z2.0,pending,,
2,DOC004_P113_B006,113,105,code,inside_table_candidate,G00U-32.0W-26.0,pending,,
2,DOC004_P113_B007,113,105,paragraph,inside_table_candidate,A：进刀至循环起点,pending,,
2,DOC004_P113_B008,113,105,code,inside_table_candidate,G90X40.0Z-52.0F0.15,pending,,
2,DOC004_P113_B009,113,105,code,inside_table_candidate,G90U-10.0W-54.0F0.15,pending,,
2,DOC004_P113_B010,113,105,paragraph,inside_table_candidate,A：循环加工回循环起点,pending,,
2,DOC004_P113_B011,113,105,code,inside_table_candidate,G00X82.0Z28.0,pending,,
2,DOC004_P113_B012,113,105,code,inside_table_candidate,G00U42.0W80.0,pending,,
2,DOC004_P113_B013,113,105,paragraph,inside_table_candidate|low_confidence,O：返回0点【例2-28】粗精加工如图2-67所示零件外圆柱面，已知毛坯直径为45mm。,pending,,
2,DOC004_P113_B014,113,105,paragraph,inside_table_candidate,解：总加工余量、背吃刀量及主要加工尺寸如表2-29所示。,pending,,
2,DOC004_P113_B016,113,105,paragraph,inside_table_candidate|low_confidence,mm总加工余量45-40=5精加工（第3层）半精加工（第2层）粗加工（第1层）背吃刀量ap122主要加工尺寸（切削终4041（40+1)43（41+2）点C点的X坐标值）编制加工程序如表2-30所示。,pending,,
2,DOC004_P113_B018,113,105,paragraph,inside_table_candidate,绝对坐标值XZ编程刀位点及用途,pending,,
2,DOC004_P113_B019,113,105,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P113_B020,113,105,code,inside_table_candidate,X55.0,pending,,
2,DOC004_P113_B021,113,105,code,inside_table_candidate,Z2.0,pending,,
2,DOC004_P113_B022,113,105,paragraph,inside_table_candidate,A：进刀至循环起点,pending,,
2,DOC004_P113_B023,113,105,code,inside_table_candidate,G90,pending,,
2,DOC004_P113_B024,113,105,code,inside_table_candidate,X43.0,pending,,
2,DOC004_P113_B025,113,105,code,inside_table_candidate,Z-52.0,pending,,
2,DOC004_P113_B026,113,105,code,inside_table_candidate,F0.3,pending,,
2,DOC004_P113_B027,113,105,paragraph,inside_table_candidate,A：循环加工第1层回循环起点（粗加工）,pending,,
2,DOC004_P113_B028,113,105,code,inside_table_candidate,X41.0,pending,,
2,DOC004_P113_B029,113,105,paragraph,inside_table_candidate,A：循环加工第2层回循环起点（半精加工）,pending,,
2,DOC004_P113_B030,113,105,code,inside_table_candidate,X40.0,pending,,
2,DOC004_P113_B031,113,105,code,inside_table_candidate,F0.15,pending,,
2,DOC004_P113_B032,113,105,paragraph,inside_table_candidate,A：循环加工第3层回循环起点（精加工）,pending,,
2,DOC004_P113_B033,113,105,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P113_B034,113,105,code,inside_table_candidate,X82.0Z28.0,pending,,
2,DOC004_P113_B035,113,105,paragraph,inside_table_candidate,O：返回0点,pending,,
2,DOC004_P115_B005,115,107,paragraph,inside_table_candidate,刀具轨迹四步循环刀位点逐段编程加工采用G指令循环加工采用G指令A→B进刀切削起点B,pending,,
2,DOC004_P115_B006,115,107,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P115_B007,115,107,paragraph,inside_table_candidate|low_confidence,B→C切削切削终点C,pending,,
2,DOC004_P115_B008,115,107,code,inside_table_candidate,G01,pending,,
2,DOC004_P115_B009,115,107,code,inside_table_candidate,G90,pending,,
2,DOC004_P115_B010,115,107,paragraph,inside_table_candidate,C→D退刀退刀点D,pending,,
2,DOC004_P115_B011,115,107,code,inside_table_candidate,G01,pending,,
2,DOC004_P115_B013,115,107,paragraph,inside_table_candidate,①循环起点A取值应比圆锥大径值大，可取距工件右端面2mm的安全距离，距外圆锥大径5mm的退刀距离。,pending,,
2,DOC004_P115_B014,115,107,paragraph,inside_table_candidate,②外圆锥面切削循环中切削起点（B点）和切削终点（C点）坐标值与圆锥大径（D）、圆锥小径（d）和锥度（C）三个参数的关系如图2-71所示。注意外圆锥面切削循环指令中R值及其正负符号，当安全距离取2mm时，则有：,pending,,
2,DOC004_P118_B004,118,110,paragraph,inside_table_candidate,外圆柱、外圆锥螺纹切削循环刀具轨迹对应关系刀具轨迹四步循环刀位点逐段编程加工采用G指令循环加工采用G指令A→B进刀切削起点B,pending,,
2,DOC004_P118_B005,118,110,code,low_confidence|inside_table_candidate,G00,pending,,
2,DOC004_P118_B006,118,110,paragraph,inside_table_candidate|low_confidence,B→C切削切削终点C,pending,,
2,DOC004_P118_B007,118,110,code,inside_table_candidate,G32,pending,,
2,DOC004_P118_B008,118,110,code,inside_table_candidate,G92,pending,,
2,DOC004_P118_B009,118,110,paragraph,inside_table_candidate,C→D退刀退刀点D,pending,,
2,DOC004_P118_B010,118,110,code,low_confidence|inside_table_candidate,G0O,pending,,
2,DOC004_P118_B011,118,110,paragraph,inside_table_candidate,D→A返回循环起点A,pending,,
2,DOC004_P118_B012,118,110,code,low_confidence|inside_table_candidate,G0O,pending,,
2,DOC004_P118_B013,118,110,paragraph,inside_table_candidate,【例2-31】加工如图2-76所示外圆柱螺纹，端面已加工，外圆柱面已加工至所需尺寸。,pending,,
2,DOC004_P118_B014,118,110,paragraph,inside_table_candidate,40DA(循环起点),pending,,
2,DOC004_P118_B022,118,110,paragraph,inside_table_candidate,mm总加工余量2×0.54P=2.16精加工（第3层）半精加工（第2层）粗加工（第1层）背吃刀量ap,pending,,
2,DOC004_P119_B013,119,111,paragraph,inside_table_candidate,mm总加工余量2×0.54P=3.24精加工（第3层）半精加（第2层）粗加工（第1层）背吃刀量ap,pending,,
3,DOC004_P111_B025,111,103,code,low_confidence,G90 X(U)Z（W)_F,pending,,
3,DOC004_P112_B005,112,104,paragraph,low_confidence,外圆柱面切削循环指令刀具轨迹如图2-66所示。刀具0A从循环起点A开始按矩形循退刀量↑C$B环，最后回到循环起点。,pending,,
3,DOC004_P114_B003,114,106,paragraph,low_confidence,5632080,pending,,
3,DOC004_P114_B008,114,106,code,low_confidence,G90 X(U)_Z(W)_R_F_,pending,,
3,DOC004_P114_B012,114,106,paragraph,low_confidence,1R(a)(b)(c),pending,,
3,DOC004_P115_B015,115,107,paragraph,low_confidence,Xb =d-2CXb—Xc_d-DR=22该计算式子结果包括R值的符号。切削起点和终点与圆锥参数关系见图2-71。,pending,,
3,DOC004_P115_B016,115,107,paragraph,low_confidence,日DA(循环起点)CC(切削终点）CBB-→G00(a)x（→G01安全距离,pending,,
3,DOC004_P116_B006,116,108,paragraph,low_confidence,D-d_50-42锥度C1，假定循环起点A(60，2），则L4050Xb −Xc_d−D42-50R=C1=—4.2。,pending,,
3,DOC004_P116_B007,116,108,paragraph,low_confidence,2225400sφ,pending,,
3,DOC004_P117_B003,117,109,paragraph,low_confidence,351:5153020φ$00244084,pending,,
3,DOC004_P117_B008,117,109,code,low_confidence,G92 X(U)_Z(W)_,pending,,
3,DOC004_P117_B011,117,109,paragraph,low_confidence,X、Z为螺纹切削终点坐标值，U、W为螺纹切削终点相对于循环起点的坐标值，F为螺距。R值为考虑导空刀量δ1和导出空刀量δ2后切削螺纹起点和切削螺纹终点的半径差。当加圆柱螺纹时，R为零，可省略。当螺纹切削起点坐标于螺纹切削终点坐标值时，R值取正，如图2-74（b）所示；否则取负，如图2-74（c）所示。,pending,,
3,DOC004_P118_B015,118,110,code,low_confidence,Z0EW,pending,,
3,DOC004_P119_B003,119,111,paragraph,low_confidence,"4解：相关参数值计算或选择为D=50mm，d=45mm，L=50mm，C=1/10,P=3mm，δ1=4mm，δ2=2mm，Xb=d-δ1C-2×0.54P=45-4×1/10-2×0.54×3=41.36（mm）,X=D+δ₂C-2×0.54P=50+2×1/10-2×0.54×3=46.96（mm），R=(Xb-Xc)/2=-2.8(mm)。",pending,,
3,DOC004_P119_B008,119,111,paragraph,low_confidence,5,pending,,
3,DOC004_P119_B015,119,111,paragraph,low_confidence,12Xb主要加,pending,,
3,DOC004_P119_B019,119,111,paragraph,low_confidence,工尺寸Xc,pending,,
3,DOC004_P120_B011,120,112,code,low_confidence,G71 P_Q_U_W_F,pending,,
3,DOC004_P121_B004,121,113,code,low_confidence,G70 P_Q_,pending,,
3,DOC004_P121_B010,121,113,code,low_confidence,G71 P_Q_U_W_F,pending,,
3,DOC004_P121_B012,121,113,code,low_confidence,G70 P_Q_,pending,,
3,DOC004_P121_B013,121,113,paragraph,low_confidence,（精车循环参数设置）提示：,pending,,
3,DOC004_P121_B015,121,113,paragraph,low_confidence,此处发生碰撞A6B,pending,,
3,DOC004_P122_B032,122,114,paragraph,low_confidence,2,pending,,
3,DOC004_P123_B019,123,115,paragraph,low_confidence,72p0$,pending,,
3,DOC004_P123_B026,123,115,code,low_confidence,G73 P_Q_U_W_F,pending,,
3,DOC004_P124_B012,124,116,paragraph,low_confidence,2φ40SEφ-5595,pending,,
3,DOC004_P125_B015,125,117,paragraph,low_confidence,02%φ32,pending,,
3,DOC004_P126_B006,126,118,code,low_confidence,G76P(m)(r)(α)Q(Δdmin)R(d),pending,,
3,DOC004_P126_B007,126,118,code,low_confidence,G76X ZR(i)P(k)Q(Δd)F(L),pending,,
3,DOC004_P126_B013,126,118,paragraph,low_confidence,Z轴a/2RkBiBB\Δdn∆d↑B螺纹切削D-----快速移动2inA:起点(终点）B:螺纹切深参考点C:螺纹起点ED:螺纹终点ZWX轴,pending,,
3,DOC004_P127_B016,127,119,code,low_confidence,Z8W,pending,,
3,DOC004_P128_B015,128,120,paragraph,low_confidence,mm件号MLL1,pending,,
3,DOC004_P148_B005,148,140,paragraph,low_confidence,R粗加工精加工R+△,pending,,
3,DOC004_P148_B008,148,140,paragraph,low_confidence,在数控铣床上加工编程时，加工编程轨迹为如图3-9所示的实线，进给方向如箭头所示，若铣刀中心轨迹为点画线A所标识的方向路线，则应采取补偿，指令为若为B所标识的方向路线，则应采取补偿，指令为若为C所标识的方向路线，则应采取补偿，指令为;若为D所标识的方向路线，则应采取补偿，指令为若为E所标识的方向路线，则应采取补偿，指令为若为F所标识的方向路线，则应采取补偿，指令为若为G所标识的方向路线，则应采取补偿，指令为;若为H所标识的方向路线，则应采取补偿，指令为0,pending,,
3,DOC004_P149_B002,149,141,paragraph,low_confidence,BZxHX,pending,,
3,DOC004_P149_B009,149,141,paragraph,low_confidence,(B点),pending,,
3,DOC004_P150_B008,150,142,paragraph,low_confidence,GO1 X_Y_Z_E,pending,,
3,DOC004_P150_B013,150,142,code,low_confidence,G00,pending,,
3,DOC004_P151_B002,151,143,paragraph,low_confidence,刀具50DE0B工件原点(a)(b),pending,,
3,DOC004_P151_B015,151,143,paragraph,low_confidence,（切削到刀位点B）XO（切削到刀位点C）,pending,,
3,DOC004_P152_B002,152,144,paragraph,low_confidence,刀具1GBφ40A,pending,,
3,DOC004_P152_B003,152,144,code,low_confidence,X4,pending,,
3,DOC004_P152_B004,152,144,paragraph,low_confidence,FCED(a)(b),pending,,
3,DOC004_P152_B015,152,144,paragraph,low_confidence,(0点）,pending,,
3,DOC004_P152_B020,152,144,paragraph,low_confidence,(A点),pending,,
3,DOC004_P152_B023,152,144,paragraph,low_confidence,（B点）,pending,,
3,DOC004_P152_B024,152,144,code,low_confidence,X20.0 YO,pending,,
3,DOC004_P152_B025,152,144,paragraph,low_confidence,（C点）,pending,,
3,DOC004_P152_B027,152,144,paragraph,low_confidence,(D点）,pending,,
3,DOC004_P153_B005,153,145,paragraph,low_confidence,（F点）,pending,,
3,DOC004_P153_B009,153,145,paragraph,low_confidence,（0点）,pending,,
3,DOC004_P153_B017,153,145,paragraph,low_confidence,（I_J_K_)F_,pending,,
